iter	Accuracy	Logloss
269	0.9114503817	0.3520535685
270	0.9122137405	0.3514486185
271	0.9129770992	0.3507053472
272	0.9122137405	0.3502621995
273	0.9141221374	0.3495535056
274	0.913740458	0.3487332084
275	0.913740458	0.3481304091
276	0.9145038168	0.3473692557
277	0.915648855	0.3468763782
278	0.915648855	0.3462955553
279	0.915648855	0.3457051881
280	0.9152671756	0.3450893658
281	0.9160305344	0.3441551666
282	0.9160305344	0.3435316614
283	0.9167938931	0.3431105075
284	0.9167938931	0.3422228392
285	0.9183206107	0.3415941669
286	0.9183206107	0.3410083556
287	0.9187022901	0.3401944288
288	0.9190839695	0.3396640307
289	0.9187022901	0.3393806091
290	0.9190839695	0.338778833
291	0.9202290076	0.3380978182
292	0.9198473282	0.3376739484
293	0.920610687	0.3372366786
294	0.9217557252	0.3367107819
295	0.9213740458	0.336217702
296	0.9221374046	0.33586835
297	0.922519084	0.3355973529
298	0.922519084	0.3351898873
299	0.9229007634	0.3347772534
